team_id,year_id,name,lg_id
PIT1908,1908,Pittsburgh Pirates,NL
SLA1908,1908,St. Louis Browns,AL
SLN1908,1908,St. Louis Cardinals,NL
WS11908,1908,Washington Senators,AL
BOS1909,1909,Boston Red Sox,AL
BRO1909,1909,Brooklyn Superbas,NL
BSN1909,1909,Boston Doves,NL
CHA1909,1909,Chicago White Sox,AL
CHN1909,1909,Chicago Cubs,NL
CIN1909,1909,Cincinnati Reds,NL
CLE1909,1909,Cleveland Naps,AL
DET1909,1909,Detroit Tigers,AL
NY11909,1909,New York Giants,NL
NYA1909,1909,New York Highlanders,AL
PHA1909,1909,Philadelphia Athletics,AL
PHI1909,1909,Philadelphia Phillies,NL
PIT1909,1909,Pittsburgh Pirates,NL
SLA1909,1909,St. Louis Browns,AL
SLN1909,1909,St. Louis Cardinals,NL
WS11909,1909,Washington Senators,AL
BOS1910,1910,Boston Red Sox,AL
BRO1910,1910,Brooklyn Superbas,NL
BSN1910,1910,Boston Doves,NL
CHA1910,1910,Chicago White Sox,AL
CHN1910,1910,Chicago Cubs,NL
CIN1910,1910,Cincinnati Reds,NL
CLE1910,1910,Cleveland Naps,AL
DET1910,1910,Detroit Tigers,AL
NY11910,1910,New York Giants,NL
NYA1910,1910,New York Highlanders,AL
PHA1910,1910,Philadelphia Athletics,AL
PHI1910,1910,Philadelphia Phillies,NL
PIT1910,1910,Pittsburgh Pirates,NL
SLA1910,1910,St. Louis Browns,AL
SLN1910,1910,St. Louis Cardinals,NL
WS11910,1910,Washington Senators,AL
BOS1911,1911,Boston Red Sox,AL
BRO1911,1911,Brooklyn Dodgers,NL
BSN1911,1911,Boston Rustlers,NL
CHA1911,1911,Chicago White Sox,AL
CHN1911,1911,Chicago Cubs,NL
CIN1911,1911,Cincinnati Reds,NL
CLE1911,1911,Cleveland Naps,AL
DET1911,1911,Detroit Tigers,AL
NY11911,1911,New York Giants,NL
NYA1911,1911,New York Highlanders,AL
PHA1911,1911,Philadelphia Athletics,AL
PHI1911,1911,Philadelphia Phillies,NL
PIT1911,1911,Pittsburgh Pirates,NL
SLA1911,1911,St. Louis Browns,AL
SLN1911,1911,St. Louis Cardinals,NL
WS11911,1911,Washington Senators,AL
BOS1912,1912,Boston Red Sox,AL
BRO1912,1912,Brooklyn Dodgers,NL
BSN1912,1912,Boston Braves,NL
CHA1912,1912,Chicago White Sox,AL
CHN1912,1912,Chicago Cubs,NL
CIN1912,1912,Cincinnati Reds,NL
CLE1912,1912,Cleveland Naps,AL
DET1912,1912,Detroit Tigers,AL
NY11912,1912,New York Giants,NL
NYA1912,1912,New York Highlanders,AL
PHA1912,1912,Philadelphia Athletics,AL
PHI1912,1912,Philadelphia Phillies,NL
PIT1912,1912,Pittsburgh Pirates,NL
SLA1912,1912,St. Louis Browns,AL
SLN1912,1912,St. Louis Cardinals,NL
WS11912,1912,Washington Senators,AL
BOS1913,1913,Boston Red Sox,AL
BRO1913,1913,Brooklyn Superbas,NL
BSN1913,1913,Boston Braves,NL
CHA1913,1913,Chicago White Sox,AL
CHN1913,1913,Chicago Cubs,NL
CIN1913,1913,Cincinnati Reds,NL
CLE1913,1913,Cleveland Naps,AL
DET1913,1913,Detroit Tigers,AL
NY11913,1913,New York Giants,NL
NYA1913,1913,New York Yankees,AL
PHA1913,1913,Philadelphia Athletics,AL
PHI1913,1913,Philadelphia Phillies,NL
PIT1913,1913,Pittsburgh Pirates,NL
SLA1913,1913,St. Louis Browns,AL
SLN1913,1913,St. Louis Cardinals,NL
WS11913,1913,Washington Senators,AL
BLF1914,1914,Baltimore Terrapins,FL
BOS1914,1914,Boston Red Sox,AL
BRF1914,1914,Brooklyn Tip-Tops,FL
BRO1914,1914,Brooklyn Robins,NL
